1,47649,0,1192
1,47649,1192,0
1,47336,0,1505
1,47336,1505,0
1,45820,0,3021
1,45820,3021,0
1,37964,0,10877
1,37964,10877,0
1,37160,0,11681
1,37160,11681,0
1,36631,0,12210
1,36631,12210,0
1,32725,0,16116
1,32725,16116,0
1,32650,0,16191
1,32650,16191,0
1,24122,0,24719
1,24122,24719,0
1,20349,0,28492
1,20349,28492,0
1,14936,0,33905
1,14936,33905,0
1,7080,0,41761
1,7080,41761,0
1,3337,0,45504
1,3337,45504,0
1,48205,9,627
1,48205,627,9
1,47878,9,954
1,47878,954,9
2,47445,8,1387
2,47445,1387,8
1,47327,9,1505
1,47327,1505,9
3,47023,7,1809
3,47023,1809,7
1,46502,9,2330
1,46502,2330,9
10,46033,0,2799
10,46033,2799,0
3,44150,7,4682
3,44150,4682,7
4,44081,6,4751
4,44081,4751,6
3,42922,7,5910
3,42922,5910,7
1,42200,9,6632
1,42200,6632,9
7,41258,3,7574
7,41258,7574,3
2,37956,8,10876
2,37956,10876,8
1,37151,9,11681
1,37151,11681,9
3,36625,7,12207
3,36625,12207,7
5,36627,5,12205
5,36627,12205,5
2,36623,8,12209
2,36623,12209,8
3,36400,7,12432
3,36400,12432,7
1,36250,9,12582
1,36250,12582,9
9,35549,1,13283
9,35549,13283,1
2,33050,8,15782
2,33050,15782,8
7,32722,3,16110
7,32722,16110,3
3,32643,7,16189
3,32643,16189,7
1,26454,9,22378
1,26454,22378,9
7,24119,3,24713
7,24119,24713,3
3,20342,7,28490
3,20342,28490,7
7,16189,3,32643
7,16189,32643,3
7,7077,3,41755
7,7077,41755,3
10,5010,0,43822
10,5010,43822,0
10,3337,0,45495
10,3337,45495,0
10,2247,0,46585
10,2247,46585,0
1,48358,14,469
1,48358,469,14
1,48171,14,656
1,48171,656,14
1,47994,14,833
1,47994,833,14
1,47971,14,856
1,47971,856,14
1,47635,14,1192
1,47635,1192,14
15,47410,0,1417
15,47410,1417,0
2,47323,13,1504
2,47323,1504,13
1,46767,14,2060
1,46767,2060,14
1,46534,14,2293
1,46534,2293,14
2,46172,13,2655
2,46172,2655,13
4,44985,11,3842
4,44985,3842,11
1,44143,14,4684
1,44143,4684,14
1,42915,14,5912
1,42915,5912,14
2,41248,13,7579
2,41248,7579,13
1,40987,14,7840
1,40987,7840,14
1,40803,14,8024
1,40803,8024,14
3,39149,12,9678
3,39149,9678,12
4,37953,11,10874
4,37953,10874,11
1,37307,14,11520
1,37307,11520,14
4,37149,11,11678
4,37149,11678,11
5,36622,10,12205
5,36622,12205,10
4,36621,11,12206
4,36621,12206,11
5,36621,10,12206
5,36621,12206,10
1,36617,14,12210
1,36617,12210,14
3,36483,12,12344
3,36483,12344,12
2,36394,13,12433
2,36394,12433,13
5,36249,10,12578
5,36249,12578,10
7,35542,8,13285
7,35542,13285,8
5,33048,10,15779
5,33048,15779,10
8,32718,7,16109
8,32718,16109,7
6,29117,9,19710
6,29117,19710,9
7,26455,8,22372
7,26455,22372,8
8,24115,7,24712
8,24115,24712,7
11,20345,4,28482
11,20345,28482,4
15,16192,0,32635
15,16192,32635,0
13,7078,2,41749
13,7078,41749,2
14,5009,1,43818
14,5009,43818,1
14,3336,1,45491
14,3336,45491,1
14,2246,1,46581
14,2246,46581,1
1,48582,18,241
1,48582,241,18
1,48315,18,508
1,48315,508,18
1,48196,18,627
1,48196,627,18
1,48065,18,758
1,48065,758,18
1,47990,18,833
1,47990,833,18
1,47378,18,1445
1,47378,1445,18
1,47318,18,1505
1,47318,1505,18
2,47307,17,1516
2,47307,1516,17
1,47223,18,1600
1,47223,1600,18
1,47129,18,1694
1,47129,1694,18
1,46763,18,2060
1,46763,2060,18
1,46530,18,2293
1,46530,2293,18
1,46493,18,2330
1,46493,2330,18
1,46469,18,2354
1,46469,2354,18
2,46168,17,2655
2,46168,2655,17
1,46025,18,2798
1,46025,2798,18
1,46015,18,2808
1,46015,2808,18
3,44980,16,3843
3,44980,3843,16
6,44967,13,3856
6,44967,3856,13
2,44070,17,4753
2,44070,4753,17
1,43901,18,4922
1,43901,4922,18
1,43213,18,5610
1,43213,5610,18
4,42914,15,5909
4,42914,5909,15
4,42741,15,6082
4,42741,6082,15
5,42716,14,6107
5,42716,6107,14
4,42655,15,6168
4,42655,6168,15
2,42192,17,6631
2,42192,6631,17
3,40985,16,7838
3,40985,7838,16
5,40803,14,8020
5,40803,8020,14
6,39148,13,9675
6,39148,9675,13
2,37947,17,10876
2,37947,10876,17
12,37314,7,11509
12,37314,11509,7
1,37142,18,11681
1,37142,11681,18
5,36618,14,12205
5,36618,12205,14
9,36622,10,12201
9,36622,12201,10
4,36616,15,12207
4,36616,12207,15
1,36613,18,12210
1,36613,12210,18
2,36478,17,12345
2,36478,12345,17
3,36391,16,12432
3,36391,12432,16
9,36249,10,12574
9,36249,12574,10
4,35535,15,13288
4,35535,13288,15
6,33045,13,15778
6,33045,15778,13
5,32711,14,16112
5,32711,16112,14
7,32638,12,16185
7,32638,16185,12
8,29115,11,19708
8,29115,19708,11
9,26453,10,22370
9,26453,22370,10
10,24113,9,24710
10,24113,24710,9
7,20337,12,28486
7,20337,28486,12
12,16185,7,32638
12,16185,32638,7
11,14928,8,33895
11,14928,33895,8
19,7080,0,41743
19,7080,41743,0
18,3336,1,45487
18,3336,45487,1
18,2246,1,46577
18,2246,46577,1
1,48581,19,241
1,48581,241,19
1,48576,19,246
1,48576,246,19
1,48417,19,405
1,48417,405,19
3,48316,17,506
3,48316,506,17
2,48196,18,626
2,48196,626,18
1,48064,19,758
1,48064,758,19
1,47989,19,833
1,47989,833,19
1,47840,19,982
1,47840,982,19
1,47630,19,1192
1,47630,1192,19
1,47434,19,1388
1,47434,1388,19
3,47319,17,1503
3,47319,1503,17
3,47295,17,1527
3,47295,1527,17
2,47129,18,1693
2,47129,1693,18
2,47012,18,1810
2,47012,1810,18
2,46843,18,1979
2,46843,1979,18
2,46752,18,2070
2,46752,2070,18
3,46494,17,2328
3,46494,2328,17
