0,48782,59,1
0,48776,65,1
0,48774,67,1
0,48766,75,1
0,48758,83,1
0,48756,85,1
0,48755,86,1
0,48754,87,1
0,48753,88,1
0,48749,92,1
0,48738,103,1
0,48736,105,1
0,48735,106,1
0,48726,115,1
0,48719,122,1
0,48714,127,1
0,48703,138,1
0,48690,151,1
0,48686,155,1
0,48659,182,1
0,48657,184,1
0,48635,206,1
0,48599,242,1
0,48597,244,1
0,48594,247,1
0,48546,295,1
1,48508,333,0
0,48435,406,1
0,48371,470,1
0,48332,509,1
0,48247,594,1
0,48213,628,1
0,48184,657,1
0,48085,756,1
0,48042,799,1
0,48007,834,1
0,47984,857,1
0,47890,951,1
0,47886,955,1
0,47858,983,1
0,47452,1389,1
0,47409,1432,1
0,47395,1446,1
0,47351,1490,1
1,47336,1505,0
0,47323,1518,1
0,47322,1519,1
0,47311,1530,1
0,47240,1601,1
0,47146,1695,1
0,47029,1812,1
0,46968,1873,1
0,46860,1981,1
0,46780,2061,1
0,46769,2072,1
0,46547,2294,1
0,46510,2331,1
0,46486,2355,1
0,46269,2572,1
0,46184,2657,1
0,46042,2799,1
0,46032,2809,1
1,45820,3021,0
0,45705,3136,1
0,44995,3846,1
0,44979,3862,1
0,44156,4685,1
0,43918,4923,1
0,43716,5125,1
0,43631,5210,1
0,43337,5504,1
0,43230,5611,1
0,43066,5775,1
0,42755,6086,1
0,42729,6112,1
0,42669,6172,1
0,42208,6633,1
0,41260,7581,1
0,41000,7841,1
0,40816,8025,1
1,37964,10877,0
0,37320,11521,1
1,37160,11681,0
0,36631,12210,1
0,36631,12210,1
1,36631,12210,0
0,36630,12211,1
0,36494,12347,1
0,36406,12435,1
0,36258,12583,1
0,35549,13292,1
0,33057,15784,1
1,32725,16116,0
1,32650,16191,0
0,29125,19716,1
0,26462,22379,1
1,24122,24719,0
0,16191,32650,1
1,14936,33905,0
1,13557,35284,0
1,7080,41761,0
0,5009,43832,1
1,3337,45504,0
0,2238,46603,1
0,48773,59,10
0,48767,65,10
0,48765,67,10
0,48757,75,10
0,48749,83,10
0,48747,85,10
0,48746,86,10
0,48745,87,10
0,48744,88,10
0,48740,92,10
0,48729,103,10
0,48727,105,10
0,48726,106,10
0,48717,115,10
0,48710,122,10
0,48705,127,10
0,48694,138,10
0,48681,151,10
0,48677,155,10
0,48650,182,10
0,48648,184,10
0,48626,206,10
0,48590,242,10
0,48588,244,10
0,48585,247,10
0,48537,295,10
0,48498,334,10
0,48426,406,10
0,48362,470,10
0,48323,509,10
0,48238,594,10
1,48205,627,9
0,48175,657,10
0,48076,756,10
0,48033,799,10
0,47998,834,10
